"cID","bitterResource","description","molIDinResource","type","bitterClassification","SensoryTestConcentration_mM","EC50_mM","thrPerKg_mM","citation","organism"
"1010","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.006",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1010","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"11","pubMed",,"0.006",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1011","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.008",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1011","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"12","pubMed",,"0.008",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1012","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.006",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1012","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"13","pubMed",,"0.006",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1013","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.016",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1013","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"14","pubMed",,"0.016",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1014","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.02",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1014","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"15","pubMed",,"0.02",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1015","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.024",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1015","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"16","pubMed",,"0.024",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1016","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.007",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1016","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"17","pubMed",,"0.007",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1017","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.012",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1017","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"18","pubMed",,"0.012",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1018","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.024",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1018","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"19","pubMed",,"0.024",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1019","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.015",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1019","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"20","pubMed",,"0.015",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1020","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.006",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1020","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"21","pubMed",,"0.006",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1021","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.025",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1021","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"22","pubMed",,"0.025",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1022","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"23","pubMed",,"0.025",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1023","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"24","pubMed",,"0.013",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1024","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"25","pubMed",,"0.009",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1025","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.029",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1025","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"26","pubMed",,"0.029",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1026","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.0090000",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1026","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"27","pubMed",,"0.009",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1027","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.008",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1027","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"28","pubMed",,"0.008",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1028","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"29","pubMed",,"0.014",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1029","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.019",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1029","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"30","pubMed",,"0.019",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1030","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.022",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1030","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"31","pubMed",,"0.022",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1031","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"32","pubMed",,"0.044",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1032","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.184",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1032","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"34a","pubMed",,"0.184",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1033","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.189",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1033","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"34b","pubMed",,"0.189",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1034","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.195",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1034","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"35a","pubMed",,"0.195",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1035","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.198",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1035","https://www.ncbi.nlm.nih.gov/pubmed/18193832",,"6","pubMed",,"0.715",,,"Hufnagel JC, Hofmann T (2008). Orosensory-directed identification of astringent mouthfeel and bitter-tasting compounds in red wine. J Agric Food Chem 56(4): 1376-86.",NULL
"1035","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"35b","pubMed",,"0.198",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1036","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"37","pubMed",,"0.028",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1037","https://pubmed.ncbi.nlm.nih.gov/35761574/",,,"pubMed",,"0.0027",,,"Deng S. et al. Bitter and astringent substances in green tea: composition, human perception mechanisms, evaluation methods and factors influencing their formation, Food Research International, 2022, 157, 111262",NULL
"1037","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.029",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1037","https://pubmed.ncbi.nlm.nih.gov/37158134/",,,"pubMed",,"0.014",,,"Chen L. et al. 3D-QSAR studies on the structureâ€“bitterness analysis of citrus flavonoids, Food & Function, 2023, 14(10), 4921-4930",NULL
"1037","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"38","pubMed",,"0.029",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1038","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.035",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1038","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"39","pubMed",,"0.035",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1039","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.005",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1039","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"40a","pubMed",,"0.005",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1040","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.01",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1040","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"40c","pubMed",,"0.01",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1041","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"41b","pubMed",,"0.037",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1042","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.01",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"1042","https://www.ncbi.nlm.nih.gov/pubmed/25793563",,"42","pubMed",,"0.01",,,"Dresel M, Dunkel A, Hofmann T (2015). Sensomics analysis of key bitter compounds in the hard resin of hops (Humulus lupulus L.) and their contribution to the bitter profile of Pilsner-type beer. J Agric Food Chem 63(13): 3402-18.",NULL
"1043","https://www.ncbi.nlm.nih.gov/pubmed/19627140",,"4c","pubMed",,,,,"Haseleu G, Intelmann D, Hofmann T (2009). Identification and RP-HPLC-ESI-MS/MS quantitation of bitter-tasting beta-acid transformation products in beer. J Agric Food Chem 57(16): 7480-9.",NULL
"1043","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"65c","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1044","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"27","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1045","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"28","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1046","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"45a","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1047","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"45b","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1048","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"45c","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1049","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"46a","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1050","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"46b","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1051","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"46c","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1052","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"47a","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1053","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"47b","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1054","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"47c","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1055","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"48a","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1056","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"48b","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1057","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"48c","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1058","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"49a","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1059","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"49b","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1060","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"49c","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1061","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"50a","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1062","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"50b","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1063","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"50c","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1064","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"51a","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1065","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"51b","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1066","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"51c","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1067","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"52a","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1068","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"52b","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1069","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"52c","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1070","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"53a","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1071","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"53b","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1072","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"53c","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1073","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"54a","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1074","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"54b","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1075","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"54c","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
"1076","https://www.ncbi.nlm.nih.gov/pubmed/27696843",,"55a","pubMed",,,,,"Dresel M, Vogt C, Dunkel A, Hofmann T (2016). The Bitter Chemodiversity of Hops (Humulus lupulus L.). J Agric Food Chem.",NULL
